nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_054002-rhyduq17
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/rhyduq17
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 67. train_acc:  60.1, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  88.3, train_time:  0.00519, data_load_time:  7.48e-07, total_eval_time:  5.12, test_score:  1.56e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 68. train_acc:  60.3, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00542, data_load_time:  7.91e-07, total_eval_time:  4.67, test_score:  1.35e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 69. train_acc:  60, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00548, data_load_time:  8.85e-07, total_eval_time:  4.43, test_score:  2.26e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 70. train_acc:  60, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00558, data_load_time:  7.75e-07, total_eval_time:  5.17, test_score:  1.8e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 71. train_acc:  60.2, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00566, data_load_time:  7.75e-07, total_eval_time:  4.11, test_score:  1.04e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 72. train_acc:  60.2, train_loss:  0.772, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00542, data_load_time:  8.21e-07, total_eval_time:  5.95, test_score:  1.48e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 73. train_acc:  60.1, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  88.4, train_time:  0.00562, data_load_time:  8.1e-07, total_eval_time:  7.68, test_score:  3.17e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 74. train_acc:  60.1, train_loss:  0.775, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00523, data_load_time:  7.87e-07, total_eval_time:  6.07, test_score:  1.62e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 75. train_acc:  60.2, train_loss:  0.774, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00559, data_load_time:  7.64e-07, total_eval_time:  5.71, test_score:  2.26e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 76. train_acc:  60.2, train_loss:  0.772, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00556, data_load_time:  7.59e-07, total_eval_time:  4.55, test_score:  1.29e+03, best_score:  3.24e+03, current lr:  0.0001, 
