nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034821-h13gwbcf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/h13gwbcf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 55. train_acc:  63.9, train_loss:  0.716, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00663, data_load_time:  1.05e-06, total_eval_time:  6.64, test_score:  1.15e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 56. train_acc:  64, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00601, data_load_time:  9.86e-07, total_eval_time:  7.42, test_score:  1.33e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 57. train_acc:  64, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00602, data_load_time:  1.1e-06, total_eval_time:  6.18, test_score:  1.02e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 58. train_acc:  64, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00577, data_load_time:  1.16e-06, total_eval_time:  6.83, test_score:  1.37e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 59. train_acc:  64, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  84.5, train_time:  0.00602, data_load_time:  1.02e-06, total_eval_time:  7.46, test_score:  1.19e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 60. train_acc:  64, train_loss:  0.716, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00557, data_load_time:  9.72e-07, total_eval_time:  5.66, test_score:  9.71e+03, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 61. train_acc:  64, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00587, data_load_time:  1.07e-06, total_eval_time:  7.35, test_score:  1.91e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 62. train_acc:  63.9, train_loss:  0.718, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00588, data_load_time:  1.07e-06, total_eval_time:  5.91, test_score:  1.02e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 63. train_acc:  64.2, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00592, data_load_time:  1.12e-06, total_eval_time:  6.13, test_score:  1.08e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 64. train_acc:  64.1, train_loss:  0.717, data_points:  5.4e+05, total_data_gen_time:  88.3, train_time:  0.00567, data_load_time:  1.01e-06, total_eval_time:  5.38, test_score:  9.08e+03, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 65. train_acc:  63.8, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00571, data_load_time:  1.08e-06, total_eval_time:  6.42, test_score:  1.29e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 66. train_acc:  64, train_loss:  0.717, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.00579, data_load_time:  9.9e-07, total_eval_time:  7.63, test_score:  1.13e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 67. train_acc:  63.9, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  88.3, train_time:  0.0057, data_load_time:  1.03e-06, total_eval_time:  5.86, test_score:  1.05e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 68. train_acc:  64, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  87, train_time:  0.0058, data_load_time:  1.15e-06, total_eval_time:  6.18, test_score:  1.04e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 69. train_acc:  64, train_loss:  0.719, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.0056, data_load_time:  1.05e-06, total_eval_time:  7.15, test_score:  1.13e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 70. train_acc:  64.2, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  86.4, train_time:  0.00583, data_load_time:  1.05e-06, total_eval_time:  6.05, test_score:  1.08e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 71. train_acc:  64.4, train_loss:  0.708, data_points:  5.4e+05, total_data_gen_time:  87.8, train_time:  0.00579, data_load_time:  1.09e-06, total_eval_time:  6.18, test_score:  1.02e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 72. train_acc:  64.3, train_loss:  0.711, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00483, data_load_time:  8.09e-07, total_eval_time:  7.1, test_score:  1.28e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 73. train_acc:  64.2, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  87.9, train_time:  0.00573, data_load_time:  1.08e-06, total_eval_time:  6.68, test_score:  1.22e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 74. train_acc:  64.1, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  86.9, train_time:  0.0054, data_load_time:  1.03e-06, total_eval_time:  6.49, test_score:  1.32e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 75. train_acc:  64.1, train_loss:  0.715, data_points:  5.4e+05, total_data_gen_time:  87.5, train_time:  0.00577, data_load_time:  1.06e-06, total_eval_time:  6.36, test_score:  1.33e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 76. train_acc:  64.2, train_loss:  0.716, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00542, data_load_time:  1.07e-06, total_eval_time:  7.26, test_score:  1.46e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 77. train_acc:  64.4, train_loss:  0.711, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00579, data_load_time:  1.12e-06, total_eval_time:  6.88, test_score:  1.03e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 78. train_acc:  64.4, train_loss:  0.71, data_points:  5.4e+05, total_data_gen_time:  87.8, train_time:  0.00563, data_load_time:  1.03e-06, total_eval_time:  5.77, test_score:  9.06e+03, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 79. train_acc:  64.3, train_loss:  0.712, data_points:  5.4e+05, total_data_gen_time:  87.8, train_time:  0.00573, data_load_time:  1.01e-06, total_eval_time:  4.79, test_score:  8.17e+03, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 80. train_acc:  64.3, train_loss:  0.717, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00511, data_load_time:  1.03e-06, total_eval_time:  6.84, test_score:  1.18e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 81. train_acc:  64.1, train_loss:  0.722, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.0047, data_load_time:  8.8e-07, total_eval_time:  6.66, test_score:  1.2e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 82. train_acc:  64.3, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00517, data_load_time:  8.49e-07, total_eval_time:  6.05, test_score:  1.12e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 83. train_acc:  64.3, train_loss:  0.715, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00515, data_load_time:  9.93e-07, total_eval_time:  6.5, test_score:  1.05e+04, best_score:  1.91e+04, current lr:  0.0001, 
Epoch 84. train_acc:  64.3, train_loss:  0.712, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00459, data_load_time:  7.87e-07, total_eval_time:  6.78, test_score:  1.2e+04, best_score:  1.91e+04, current lr:  0.0001, 
