nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_022058-emjcbulv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/emjcbulv
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 49. train_acc:  46.4, train_loss:  0.754, data_points:  5.4e+05, total_data_gen_time:  62.7, train_time:  0.00286, data_load_time:  4.19e-07, total_eval_time:  10.6, test_score:  6.26e+03, best_score:  6.26e+03, current lr:  0.0001, 
Epoch 50. train_acc:  46.5, train_loss:  0.75, data_points:  5.4e+05, total_data_gen_time:  62.8, train_time:  0.00302, data_load_time:  4.28e-07, total_eval_time:  10.2, test_score:  5.12e+03, best_score:  6.26e+03, current lr:  0.0001, 
Epoch 51. train_acc:  46.5, train_loss:  0.75, data_points:  5.4e+05, total_data_gen_time:  63, train_time:  0.00278, data_load_time:  4.58e-07, total_eval_time:  33.4, test_score:  4.66e+03, best_score:  6.26e+03, current lr:  0.0001, 
Epoch 52. train_acc:  46.5, train_loss:  0.753, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.00289, data_load_time:  4.69e-07, total_eval_time:  11.3, test_score:  4.91e+03, best_score:  6.26e+03, current lr:  0.0001, 
Epoch 53. train_acc:  46.4, train_loss:  0.756, data_points:  5.4e+05, total_data_gen_time:  82.3, train_time:  0.00317, data_load_time:  5.29e-07, total_eval_time:  14.7, test_score:  6.98e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 54. train_acc:  46.6, train_loss:  0.755, data_points:  5.4e+05, total_data_gen_time:  82.7, train_time:  0.00318, data_load_time:  5.45e-07, total_eval_time:  78.4, test_score:  4.06e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 55. train_acc:  46.8, train_loss:  0.75, data_points:  5.4e+05, total_data_gen_time:  82.8, train_time:  0.00285, data_load_time:  4.65e-07, total_eval_time:  14, test_score:  6.42e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 56. train_acc:  46.7, train_loss:  0.754, data_points:  5.4e+05, total_data_gen_time:  83, train_time:  0.00366, data_load_time:  5.58e-07, total_eval_time:  13.8, test_score:  5.18e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 57. train_acc:  47, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  81.7, train_time:  0.00381, data_load_time:  5.46e-07, total_eval_time:  12.5, test_score:  3.48e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 58. train_acc:  47, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00294, data_load_time:  5.19e-07, total_eval_time:  53.6, test_score:  3.05e+03, best_score:  6.98e+03, current lr:  0.0001, 
