nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_045708-ooulay9s
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/ooulay9s
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BreakoutNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 75. train_acc:  77, train_loss:  0.36, data_points:  5.4e+05, total_data_gen_time:  83.4, train_time:  0.00295, data_load_time:  1.13e-06, total_eval_time:  8.36, test_score:  770, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 76. train_acc:  77, train_loss:  0.359, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.00243, data_load_time:  8.84e-07, total_eval_time:  113, test_score:  876, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 77. train_acc:  76.8, train_loss:  0.363, data_points:  5.4e+05, total_data_gen_time:  83.7, train_time:  0.00227, data_load_time:  9.3e-07, total_eval_time:  186, test_score:  181, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 78. train_acc:  77, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  82, train_time:  0.00307, data_load_time:  1.15e-06, total_eval_time:  143, test_score:  637, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 79. train_acc:  76.9, train_loss:  0.361, data_points:  5.4e+05, total_data_gen_time:  81.7, train_time:  0.00322, data_load_time:  1.12e-06, total_eval_time:  179, test_score:  376, best_score:  1.12e+03, current lr:  0.0001, 
Epoch 80. train_acc:  76.8, train_loss:  0.363, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.00356, data_load_time:  1.13e-06, total_eval_time:  43.5, test_score:  1.54e+03, best_score:  1.54e+03, current lr:  0.0001, 
Epoch 81. train_acc:  76.8, train_loss:  0.362, data_points:  5.4e+05, total_data_gen_time:  83.1, train_time:  0.00309, data_load_time:  1.1e-06, total_eval_time:  180, test_score:  693, best_score:  1.54e+03, current lr:  0.0001, 
Epoch 82. train_acc:  76.5, train_loss:  0.365, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00302, data_load_time:  1.05e-06, total_eval_time:  229, test_score:  414, best_score:  1.54e+03, current lr:  0.0001, 
Epoch 83. train_acc:  76.6, train_loss:  0.366, data_points:  5.4e+05, total_data_gen_time:  106, train_time:  0.00296, data_load_time:  1.06e-06, total_eval_time:  146, test_score:  406, best_score:  1.54e+03, current lr:  0.0001, 
Epoch 84. train_acc:  76.6, train_loss:  0.365, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00299, data_load_time:  1.1e-06, total_eval_time:  178, test_score:  404, best_score:  1.54e+03, current lr:  0.0001, 
