nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_053943-u69mzvbi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u69mzvbi
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 74. train_acc:  61.3, train_loss:  0.746, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00256, data_load_time:  7.41e-07, total_eval_time:  3.75, test_score:  1.01e+03, best_score:  2.84e+03, current lr:  0.0001, 
Epoch 75. train_acc:  61.2, train_loss:  0.749, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00254, data_load_time:  7.19e-07, total_eval_time:  5.81, test_score:  3.18e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 76. train_acc:  61.3, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00264, data_load_time:  8.01e-07, total_eval_time:  4.46, test_score:  1.36e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 77. train_acc:  61.3, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  87.8, train_time:  0.00262, data_load_time:  7.44e-07, total_eval_time:  4.56, test_score:  1.03e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 78. train_acc:  61.2, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00265, data_load_time:  7.43e-07, total_eval_time:  5.16, test_score:  1.34e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 79. train_acc:  61.3, train_loss:  0.746, data_points:  5.4e+05, total_data_gen_time:  86.9, train_time:  0.00268, data_load_time:  7.5e-07, total_eval_time:  4.31, test_score:  1.04e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 80. train_acc:  61.4, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00266, data_load_time:  8.21e-07, total_eval_time:  5.11, test_score:  2.2e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 81. train_acc:  61.2, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  85.5, train_time:  0.00271, data_load_time:  7.81e-07, total_eval_time:  3.65, test_score:  760, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 82. train_acc:  61.4, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  87, train_time:  0.00263, data_load_time:  7.95e-07, total_eval_time:  6.59, test_score:  2.06e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 83. train_acc:  61.4, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00264, data_load_time:  8.55e-07, total_eval_time:  4.21, test_score:  1.3e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 84. train_acc:  61.5, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00281, data_load_time:  7.35e-07, total_eval_time:  5.27, test_score:  1.76e+03, best_score:  3.18e+03, current lr:  0.0001, 
Epoch 85. train_acc:  61.4, train_loss:  0.746, data_points:  5.4e+05, total_data_gen_time:  87.5, train_time:  0.00259, data_load_time:  7.91e-07, total_eval_time:  7.14, test_score:  1.72e+03, best_score:  3.18e+03, current lr:  0.0001, 
