nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054859-0lras3xf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_00001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/0lras3xf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 1.0e-05
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_00001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 44. train_acc:  46, train_loss:  0.764, data_points:  5.4e+05, total_data_gen_time:  80.4, train_time:  0.00309, data_load_time:  5.5e-07, total_eval_time:  149, test_score:  2.61e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 45. train_acc:  46, train_loss:  0.764, data_points:  5.4e+05, total_data_gen_time:  82.1, train_time:  0.0031, data_load_time:  5.52e-07, total_eval_time:  32.4, test_score:  3.74e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 46. train_acc:  46.1, train_loss:  0.763, data_points:  5.4e+05, total_data_gen_time:  63.1, train_time:  0.00302, data_load_time:  5.1e-07, total_eval_time:  8.83, test_score:  2.99e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 47. train_acc:  46.3, train_loss:  0.761, data_points:  5.4e+05, total_data_gen_time:  80.3, train_time:  0.00269, data_load_time:  4.46e-07, total_eval_time:  74.3, test_score:  2.7e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 48. train_acc:  46.4, train_loss:  0.758, data_points:  5.4e+05, total_data_gen_time:  79.6, train_time:  0.00311, data_load_time:  5.21e-07, total_eval_time:  44.2, test_score:  4.07e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 49. train_acc:  46.6, train_loss:  0.752, data_points:  5.4e+05, total_data_gen_time:  81.8, train_time:  0.00334, data_load_time:  5.8e-07, total_eval_time:  11.9, test_score:  3.15e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 50. train_acc:  46.7, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  79.8, train_time:  0.00327, data_load_time:  5.74e-07, total_eval_time:  11.6, test_score:  2.56e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 51. train_acc:  46.8, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  80, train_time:  0.00298, data_load_time:  5e-07, total_eval_time:  31.4, test_score:  3.03e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 52. train_acc:  46.9, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00295, data_load_time:  5.76e-07, total_eval_time:  136, test_score:  2.33e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 53. train_acc:  47.2, train_loss:  0.748, data_points:  5.4e+05, total_data_gen_time:  80, train_time:  0.00304, data_load_time:  5.43e-07, total_eval_time:  9.96, test_score:  2.22e+03, best_score:  5.03e+03, current lr:  0.0001, 
