nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034741-njuc4u8h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/njuc4u8h
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 55. train_acc:  63.3, train_loss:  0.737, data_points:  5.4e+05, total_data_gen_time:  98.5, train_time:  0.00312, data_load_time:  1.06e-06, total_eval_time:  6.34, test_score:  9.99e+03, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 56. train_acc:  63.4, train_loss:  0.737, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00314, data_load_time:  1.03e-06, total_eval_time:  6.87, test_score:  1.45e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 57. train_acc:  63.4, train_loss:  0.734, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00313, data_load_time:  1.01e-06, total_eval_time:  8.64, test_score:  1.18e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 58. train_acc:  63.5, train_loss:  0.729, data_points:  5.4e+05, total_data_gen_time:  106, train_time:  0.00305, data_load_time:  1.01e-06, total_eval_time:  9.08, test_score:  1.36e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 59. train_acc:  63.7, train_loss:  0.727, data_points:  5.4e+05, total_data_gen_time:  106, train_time:  0.00313, data_load_time:  1.06e-06, total_eval_time:  6.58, test_score:  1.38e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 60. train_acc:  63.6, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00314, data_load_time:  9.71e-07, total_eval_time:  6.16, test_score:  1.19e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 61. train_acc:  63.6, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00311, data_load_time:  1.03e-06, total_eval_time:  6.41, test_score:  1.17e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 62. train_acc:  63.6, train_loss:  0.729, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.00308, data_load_time:  1.01e-06, total_eval_time:  6.16, test_score:  1.18e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 63. train_acc:  63.6, train_loss:  0.73, data_points:  5.4e+05, total_data_gen_time:  84, train_time:  0.0032, data_load_time:  1.03e-06, total_eval_time:  6.89, test_score:  1.46e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 64. train_acc:  63.7, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00338, data_load_time:  1.1e-06, total_eval_time:  6.48, test_score:  1.38e+04, best_score:  1.66e+04, current lr:  0.0001, 
