nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /home/yw3809/Projects/policy_distillation/src/wandb/run-20250311_160852-3k76eksh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn5_pd_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/3k76eksh
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn5
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn5_pd_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 41. train_acc:  37.1, train_loss:  0.925, data_points:  5.4e+05, total_data_gen_time:  34, train_time:  0.000598, data_load_time:  2.62e-07, total_eval_time:  3.8, test_score:  1.14e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 42. train_acc:  37.5, train_loss:  0.919, data_points:  5.4e+05, total_data_gen_time:  33.6, train_time:  0.000618, data_load_time:  2.74e-07, total_eval_time:  3.34, test_score:  1.98e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 43. train_acc:  37.8, train_loss:  0.915, data_points:  5.4e+05, total_data_gen_time:  33.4, train_time:  0.000592, data_load_time:  2.77e-07, total_eval_time:  4.07, test_score:  704, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 44. train_acc:  37.9, train_loss:  0.916, data_points:  5.4e+05, total_data_gen_time:  34, train_time:  0.000599, data_load_time:  2.7e-07, total_eval_time:  3.43, test_score:  440, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 45. train_acc:  38, train_loss:  0.913, data_points:  5.4e+05, total_data_gen_time:  34.1, train_time:  0.000635, data_load_time:  2.81e-07, total_eval_time:  3.93, test_score:  1.5e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 46. train_acc:  38, train_loss:  0.917, data_points:  5.4e+05, total_data_gen_time:  34.7, train_time:  0.000591, data_load_time:  2.68e-07, total_eval_time:  4.83, test_score:  2.74e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 47. train_acc:  38.1, train_loss:  0.917, data_points:  5.4e+05, total_data_gen_time:  33.8, train_time:  0.000602, data_load_time:  2.81e-07, total_eval_time:  4.14, test_score:  1.67e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 48. train_acc:  38.3, train_loss:  0.911, data_points:  5.4e+05, total_data_gen_time:  33.6, train_time:  0.000694, data_load_time:  2.96e-07, total_eval_time:  4.59, test_score:  1.85e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 49. train_acc:  38.3, train_loss:  0.906, data_points:  5.4e+05, total_data_gen_time:  34.1, train_time:  0.000575, data_load_time:  2.67e-07, total_eval_time:  3.82, test_score:  1.86e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 50. train_acc:  38.5, train_loss:  0.9, data_points:  5.4e+05, total_data_gen_time:  33.9, train_time:  0.000579, data_load_time:  2.71e-07, total_eval_time:  3.44, test_score:  1.28e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 51. train_acc:  38.9, train_loss:  0.895, data_points:  5.4e+05, total_data_gen_time:  34.4, train_time:  0.000597, data_load_time:  2.74e-07, total_eval_time:  3.6, test_score:  396, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 52. train_acc:  38.9, train_loss:  0.895, data_points:  5.4e+05, total_data_gen_time:  35.1, train_time:  0.000607, data_load_time:  2.76e-07, total_eval_time:  4.35, test_score:  2.08e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 53. train_acc:  39.1, train_loss:  0.894, data_points:  5.4e+05, total_data_gen_time:  33.8, train_time:  0.000597, data_load_time:  2.79e-07, total_eval_time:  4.25, test_score:  1.98e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 54. train_acc:  39.2, train_loss:  0.893, data_points:  5.4e+05, total_data_gen_time:  34.7, train_time:  0.000567, data_load_time:  2.69e-07, total_eval_time:  4, test_score:  1.72e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 55. train_acc:  39.3, train_loss:  0.894, data_points:  5.4e+05, total_data_gen_time:  34.1, train_time:  0.000575, data_load_time:  2.65e-07, total_eval_time:  3.87, test_score:  88, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 56. train_acc:  39.7, train_loss:  0.885, data_points:  5.4e+05, total_data_gen_time:  34, train_time:  0.000569, data_load_time:  2.65e-07, total_eval_time:  51.5, test_score:  2.24e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 57. train_acc:  39.9, train_loss:  0.882, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.000564, data_load_time:  2.65e-07, total_eval_time:  3.78, test_score:  132, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 58. train_acc:  40, train_loss:  0.881, data_points:  5.4e+05, total_data_gen_time:  33, train_time:  0.000613, data_load_time:  2.71e-07, total_eval_time:  3.89, test_score:  528, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 59. train_acc:  40, train_loss:  0.887, data_points:  5.4e+05, total_data_gen_time:  33.6, train_time:  0.000588, data_load_time:  2.69e-07, total_eval_time:  15.4, test_score:  2.22e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 60. train_acc:  39.9, train_loss:  0.891, data_points:  5.4e+05, total_data_gen_time:  33.7, train_time:  0.000574, data_load_time:  2.74e-07, total_eval_time:  3.82, test_score:  484, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 61. train_acc:  40, train_loss:  0.888, data_points:  5.4e+05, total_data_gen_time:  32.9, train_time:  0.000568, data_load_time:  2.69e-07, total_eval_time:  3.97, test_score:  1.32e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 62. train_acc:  40.1, train_loss:  0.885, data_points:  5.4e+05, total_data_gen_time:  32.8, train_time:  0.000553, data_load_time:  2.64e-07, total_eval_time:  4.35, test_score:  2.03e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 63. train_acc:  40.2, train_loss:  0.882, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.00055, data_load_time:  2.66e-07, total_eval_time:  51.8, test_score:  2.26e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 64. train_acc:  40.4, train_loss:  0.875, data_points:  5.4e+05, total_data_gen_time:  32.8, train_time:  0.00061, data_load_time:  2.56e-07, total_eval_time:  3.5, test_score:  2.2e+03, best_score:  3.28e+03, current lr:  0.0001, 
